Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Seating_Capacity,Promotions,Reviews,Monthly_Revenue
124,32.15,1524.38,Indian,26.57,170,1,228.0,23042.45
75,22.98,284.32,Indian,17.67,120,0,338.0,7347.84
61,41.88,2115.19,Japanese,51.52,119,0,277.0,21805.81
111,25.6,2437.91,Japanese,56.12,175,0,370.0,32178.22
237,13.8,2159.01,Indian,22.29,166,0,316.0,26377.38
169,18.99,2631.63,Mexican,20.29,58,1,5.0,14076.57
256,49.36,537.9,Indian,29.6,172,0,32.0,49223.34
222,31.82,1291.0,Indian,47.6,161,1,186.0,55605.96
57,59.37,1444.22,American,59.55,102,1,0.0,20997.65
197,35.28,2508.14,Indian,50.3,133,0,241.0,48721.01
230,28.37,170.53,Japanese,46.03,53,1,260.0,56951.1
293,30.14,799.34,American,12.25,33,1,391.0,22665.19
246,58.63,2766.53,Mexican,12.81,97,1,300.0,39150.01
97,48.59,1862.15,Japanese,17.93,153,1,21.0,21237.19
82,16.7,360.17,Japanese,42.79,162,1,70.0,21333.64
67,35.96,1630.21,American,21.8,133,1,46.0,10380.17
89,44.45,740.95,Japanese,40.35,190,1,74.0,23809.85
60,54.52,2593.34,Indian,50.13,41,1,35.0,13174.72
85,57.66,485.68,American,8.27,85,1,299.0,10549.49
52,53.99,1269.92,American,44.6,47,1,41.0,12865.27
200,47.11,1667.53,American,18.59,178,1,40.0,23131.25
219,55.22,167.8,Indian,29.3,98,0,344.0,34822.66
49,34.61,2398.21,Indian,40.43,96,0,350.0,7661.38
96,14.1,1567.81,Mexican,14.22,38,1,87.0,10198.76
20,29.15,1383.85,Mexican,45.48,137,0,320.0,5255.8
249,59.24,2713.27,Italian,26.54,89,0,93.0,37212.03
22,17.9,875.09,American,10.61,185,1,396.0,4031.19
298,52.38,2322.15,Italian,51.47,147,1,438.0,85502.85
139,33.31,475.85,American,24.07,82,1,142.0,19109.23
72,13.24,1146.0,Japanese,59.32,122,0,23.0,26731.56
286,56.79,1035.49,Indian,35.16,66,0,242.0,55752.49
156,11.11,1472.34,Italian,33.87,66,0,330.0,18756.24
139,49.5,556.5,Indian,11.22,138,0,152.0,13512.69
135,59.72,720.53,Italian,44.71,175,0,244.0,28507.63
132,26.2,757.95,American,39.39,106,0,157.0,29414.02
292,27.08,1706.01,American,24.86,93,0,123.0,40628.15
90,23.76,1459.26,Italian,22.2,28,0,427.0,9888.97
283,18.36,2599.72,Japanese,46.48,179,1,353.0,68831.87
36,44.4,2140.8,Mexican,8.8,59,1,472.0,1859.51
272,8.64,904.15,Mexican,19.81,144,1,291.0,25433.15
22,10.05,2532.12,Indian,26.22,124,1,55.0,500.0
152,17.74,2196.71,Mexican,21.37,93,1,160.0,8051.69
49,47.25,2948.94,Indian,52.01,84,1,60.0,12384.74
249,40.83,1878.29,Italian,26.78,119,0,125.0,45751.09
211,50.53,903.35,Indian,41.8,136,0,64.0,41348.4
212,49.46,2943.06,American,52.59,111,1,132.0,60248.78
233,10.21,1940.39,Italian,35.93,90,0,203.0,35587.53
127,56.48,1888.59,American,27.22,196,0,59.0,23327.75
259,48.16,1234.13,Mexican,10.53,70,0,53.0,18246.78
238,58.02,707.36,American,10.17,163,1,39.0,21970.04
241,14.7,817.8,American,22.39,56,0,412.0,28557.45
227,35.05,1551.82,American,26.11,190,0,36.0,29728.15
152,22.15,931.25,American,42.87,75,1,315.0,32783.9
169,27.97,1773.47,Italian,38.05,173,1,255.0,33471.52
258,48.2,2452.44,Indian,11.86,155,1,346.0,27518.26
175,30.38,93.58,Japanese,57.44,107,1,135.0,54568.39
105,40.32,1793.82,Mexican,17.53,87,1,218.0,16059.66
25,50.1,1555.49,Japanese,24.49,172,1,194.0,6789.54
193,33.83,486.81,Japanese,48.91,118,1,195.0,45267.85
293,15.69,327.16,American,34.72,28,0,442.0,46116.02
171,15.45,2466.24,Indian,51.99,108,1,153.0,46473.86
214,48.82,1904.24,American,28.68,105,1,479.0,37872.87
72,24.9,2836.64,Italian,29.5,68,1,262.0,16209.11
22,39.92,1774.41,Mexican,42.13,51,0,19.0,500.0
219,52.33,1739.73,Japanese,43.82,22,0,89.0,47115.85
121,41.86,1553.95,Italian,40.01,141,1,115.0,23254.14
91,48.16,1796.19,Japanese,22.51,199,1,302.0,15455.22
271,53.31,245.26,Mexican,47.72,123,0,101.0,64545.25
208,27.09,1195.59,Italian,52.4,110,0,479.0,48259.06
253,12.47,347.65,Japanese,50.58,77,1,298.0,64460.12
134,16.95,1226.07,Indian,40.51,140,1,126.0,25670.18
189,36.19,1952.45,Indian,44.94,84,0,260.0,37743.76
232,33.2,2082.24,Italian,38.4,147,1,54.0,50026.32
281,39.69,1135.21,American,43.43,135,1,105.0,65360.09
275,45.18,1627.29,American,17.18,69,1,369.0,34749.61
99,46.49,58.28,American,27.38,100,0,383.0,18410.79
280,11.9,2747.42,Italian,11.13,113,0,100.0,13946.52
28,28.08,2597.51,Italian,41.37,100,0,317.0,5152.93
85,8.86,2661.68,Japanese,35.82,189,1,101.0,14986.16
40,40.46,2805.59,Mexican,47.03,82,1,3.0,13523.14
278,51.21,1356.28,American,48.0,49,0,94.0,68839.62
194,13.72,1742.99,American,21.25,61,1,180.0,26453.85
97,56.77,123.46,Mexican,12.58,167,0,377.0,7713.15
284,19.41,2378.42,Japanese,19.97,142,1,33.0,31477.37
159,51.56,2433.17,Japanese,59.41,122,0,136.0,54003.62
84,14.49,459.13,American,30.34,154,0,381.0,6012.24
30,10.16,425.63,Italian,24.09,44,1,281.0,500.0
140,50.33,1088.38,Japanese,35.41,92,1,100.0,32565.4
51,22.82,2667.11,American,24.49,186,0,476.0,10535.39
51,37.53,2025.44,Japanese,51.77,110,1,392.0,19435.09
285,42.63,1322.45,American,10.2,60,1,426.0,27732.12
241,18.41,1054.43,Mexican,44.61,22,1,318.0,58860.71
86,54.29,2576.14,Japanese,8.11,157,0,344.0,5572.63
223,32.72,330.03,Mexican,54.55,81,0,80.0,58519.73
141,27.41,1899.71,Italian,41.7,49,0,329.0,31800.7
211,14.14,252.16,Mexican,49.81,93,1,198.0,46070.94
101,33.38,1553.89,American,44.45,72,1,361.0,18308.51
153,57.06,2411.49,Japanese,58.01,198,1,41.0,46248.59
131,34.77,999.7,Indian,35.17,102,1,22.0,29940.62
186,34.37,2203.16,Indian,50.11,154,1,46.0,52356.39
70,49.88,2249.37,Mexican,39.05,164,1,126.0,10060.83
162,45.59,73.26,Mexican,56.19,117,0,219.0,42852.27
140,44.94,1057.53,Japanese,26.18,107,0,354.0,19286.26
229,42.22,2502.52,Mexican,14.53,44,1,452.0,24396.88
281,55.99,2489.08,Japanese,13.12,184,1,357.0,31717.16
144,57.68,2963.31,Indian,12.95,84,1,472.0,16336.19
144,40.23,1656.04,Italian,12.37,100,1,277.0,9449.25
42,23.32,1222.78,Mexican,28.76,25,1,407.0,12120.62
258,38.88,991.57,Italian,32.93,98,0,443.0,50201.43
245,30.57,2828.95,American,35.6,26,0,446.0,39450.16
71,43.82,2678.04,Mexican,39.94,36,0,8.0,14243.79
197,10.53,1848.97,Indian,15.04,66,0,363.0,20079.83
36,10.9,2662.74,Mexican,12.01,47,0,129.0,4256.3
135,16.84,1769.63,Italian,14.0,66,1,305.0,13532.15
167,33.1,2331.78,American,41.76,183,0,381.0,33023.61
294,25.17,1147.24,Italian,47.92,117,1,119.0,78371.21
230,16.55,1937.32,Italian,13.19,67,1,190.0,12875.99
20,46.96,1648.69,Indian,48.71,34,1,406.0,10331.47
32,24.16,1060.12,Indian,29.94,134,0,151.0,13309.57
65,57.14,2183.87,American,36.48,38,0,293.0,10275.12
297,26.85,54.47,Japanese,28.68,195,1,261.0,52817.97
292,28.86,1797.22,Mexican,41.14,99,0,231.0,62782.91
194,29.67,364.17,Indian,49.75,139,0,362.0,43930.22
291,44.76,2259.84,American,11.89,29,1,171.0,27617.7
270,52.44,2248.69,Japanese,35.25,100,0,292.0,59753.69
222,53.87,2603.94,Mexican,24.63,162,1,315.0,33699.67
109,37.04,745.38,Italian,22.92,67,1,185.0,13435.75
108,51.46,1953.75,Italian,14.71,44,1,418.0,500.0
52,22.34,995.58,American,34.32,57,1,37.0,1833.68
59,43.92,1533.22,Japanese,42.96,56,0,207.0,12139.34
196,51.72,779.11,Japanese,20.34,38,1,305.0,26986.97
142,54.75,130.02,American,30.28,159,0,171.0,27619.39
59,44.56,2352.18,American,9.14,56,0,418.0,9111.35
47,17.89,739.71,Italian,38.68,89,0,447.0,18355.67
261,52.63,2829.19,American,30.71,42,1,227.0,51928.43
260,41.11,1493.48,Japanese,17.99,21,0,5.0,42646.2
278,35.58,2171.22,Italian,18.62,164,1,437.0,36476.37
229,55.33,2555.59,Italian,46.3,131,1,428.0,66608.24
204,9.6,1621.22,Japanese,54.7,97,1,455.0,51002.1
149,9.43,1120.92,American,32.72,110,0,393.0,24823.97
262,19.09,2219.39,American,14.09,132,0,137.0,24700.85
50,23.35,912.38,Japanese,49.2,25,1,27.0,17429.53
235,39.92,1000.01,Mexican,20.85,185,1,467.0,29145.76
260,46.68,365.27,American,38.57,151,1,491.0,56819.65
120,23.85,2740.07,Indian,37.58,110,1,470.0,18641.2
100,46.03,56.93,Mexican,58.51,96,0,400.0,31097.63
89,39.19,2235.18,American,51.54,190,1,387.0,20067.25
200,12.95,655.85,Mexican,50.99,165,0,37.0,50715.84
187,46.14,2979.82,American,38.53,163,1,459.0,42398.63
257,54.2,1996.39,Mexican,53.88,127,1,47.0,79178.36
238,24.22,1308.17,Italian,9.33,88,1,408.0,18654.45
270,9.67,2371.59,Japanese,33.72,93,0,378.0,44544.28
147,8.05,901.65,Mexican,31.48,114,1,401.0,26994.18
97,59.69,2296.18,Italian,41.02,47,1,444.0,24578.64
108,21.38,2919.09,American,55.33,24,1,377.0,23013.35
141,31.87,2113.85,Japanese,37.46,22,1,397.0,35194.57
132,24.29,1992.28,Japanese,51.34,68,1,336.0,31873.85
149,10.06,1052.16,American,26.77,97,0,112.0,22891.34
222,45.06,2290.58,Mexican,23.68,94,1,355.0,35777.85
68,55.34,1516.51,Japanese,22.71,191,1,,12772.04
22,34.57,,Indian,38.55,63,0,95.0,5593.9
179,47.66,1922.22,Italian,51.64,36,0,406.0,48914.43
35,47.19,1295.44,Japanese,45.05,46,0,171.0,9969.93
193,56.7,2094.61,Japanese,25.58,153,0,494.0,31466.5
269,47.91,539.21,Italian,8.64,94,1,379.0,21472.27
104,56.27,542.33,American,18.87,169,0,200.0,14887.35
170,32.03,2955.15,Indian,49.8,115,0,128.0,44250.68
51,25.46,2718.37,Italian,31.53,119,0,100.0,6737.1
197,50.32,,Mexican,20.04,25,1,238.0,27953.85
258,20.28,1234.62,American,46.86,184,1,284.0,54793.3
299,24.98,481.39,American,37.68,168,0,429.0,51365.95
116,53.63,1293.35,Japanese,27.77,178,0,126.0,11837.73
27,9.46,348.32,American,15.04,198,0,290.0,1209.72
276,14.34,1672.26,Indian,55.04,37,1,249.0,76220.71
178,37.85,1824.2,Japanese,44.19,102,1,261.0,46149.99
270,46.32,1883.3,Mexican,58.63,150,1,213.0,78042.26
212,25.97,608.1,Italian,33.61,157,0,328.0,39593.47
252,18.88,2078.6,Indian,51.11,24,0,51.0,55089.49
278,19.53,207.15,American,13.72,140,1,486.0,20874.34
218,48.43,1267.55,Indian,35.16,20,0,414.0,40072.34
182,54.09,2804.94,American,46.2,164,1,221.0,54617.29
197,38.25,2981.4,Italian,47.66,73,0,319.0,48171.26
97,55.97,1876.7,American,52.51,118,0,274.0,36317.93
266,36.96,1733.38,Italian,13.54,22,0,285.0,28705.97
48,14.08,673.76,American,18.3,133,1,308.0,3995.35
210,28.48,511.96,Italian,55.23,26,0,470.0,57493.06
168,15.3,1705.97,Indian,26.45,59,1,269.0,29668.68
165,40.78,66.0,Japanese,27.5,102,1,153.0,23292.25
107,26.58,954.75,Mexican,36.97,107,0,275.0,17778.48
34,8.24,2788.32,American,9.18,25,1,416.0,2330.09
36,53.66,1795.76,American,57.19,79,1,423.0,10431.32
165,44.34,2102.65,Mexican,54.1,165,0,281.0,43832.68
155,25.2,1165.05,Italian,10.05,156,0,140.0,18230.25
262,8.17,2486.84,Mexican,11.57,147,1,437.0,17464.92
55,32.32,1802.44,Indian,52.72,90,1,246.0,14274.26
178,9.19,1631.6,Mexican,11.23,155,1,116.0,9380.13
93,56.81,2590.63,Indian,38.37,134,0,273.0,14358.33
205,38.71,409.27,Japanese,9.88,121,1,462.0,20616.45
65,35.26,2109.9,Japanese,20.79,190,1,340.0,6473.76
157,36.27,1827.93,American,44.79,130,1,124.0,53763.32
149,52.18,552.66,Indian,24.41,45,0,185.0,24587.01
36,20.46,620.45,Mexican,40.22,113,0,437.0,5044.18
163,53.59,2705.02,American,41.72,138,0,308.0,31425.12
126,27.94,1167.12,Japanese,50.71,27,0,426.0,29401.96
238,54.55,448.41,Mexican,45.25,96,0,467.0,59379.26
141,41.05,1958.64,American,37.08,29,1,263.0,26839.72
55,8.09,2703.34,Mexican,33.94,97,0,90.0,11817.67
39,51.69,2199.21,Japanese,17.28,23,0,422.0,8935.35
89,19.64,2046.27,Mexican,49.33,65,1,450.0,25299.28
86,37.72,1658.06,American,29.52,28,0,65.0,16170.27
252,26.28,1940.38,American,33.53,139,1,388.0,45339.02
51,38.45,1516.36,Italian,47.73,67,1,249.0,10739.3
31,21.83,2996.05,Italian,53.91,34,0,58.0,2824.4
234,48.05,1597.68,Italian,35.32,51,0,447.0,38309.19
41,46.45,1615.37,Japanese,21.21,166,1,52.0,4331.12
275,45.84,2851.79,Indian,17.08,68,0,441.0,34411.93
63,17.84,1938.21,American,16.58,52,0,453.0,6154.21
21,10.11,1113.45,American,47.94,180,1,319.0,729.24
162,17.88,1170.21,Japanese,21.18,55,1,264.0,23385.32
102,35.92,1196.44,Japanese,36.51,27,1,55.0,16585.88
183,26.18,,Italian,53.24,41,0,297.0,41354.45
158,38.06,2205.17,Japanese,35.33,122,1,95.0,27155.75
246,17.65,662.71,Italian,40.42,119,1,330.0,47478.09
142,8.99,1001.05,Japanese,46.47,44,0,6.0,29688.78
197,11.57,1927.5,American,53.99,62,0,269.0,42493.42
26,9.4,1765.73,Japanese,40.22,89,1,269.0,500.0
286,35.48,83.04,Mexican,13.92,23,1,443.0,29273.44
194,15.24,1520.1,Japanese,56.42,60,0,125.0,51434.22
137,52.08,2796.13,Mexican,56.72,20,1,456.0,44882.04
27,34.82,1400.07,Italian,37.43,52,1,123.0,9463.83
241,32.81,2689.7,American,59.66,36,0,114.0,68766.1
126,10.04,2037.62,Mexican,50.74,132,0,143.0,37061.84
193,54.18,2365.92,American,8.36,106,1,302.0,15518.92
64,26.76,2511.96,American,51.29,79,1,498.0,17184.18
220,58.41,1908.39,Japanese,26.92,30,0,229.0,42609.22
237,20.45,1342.07,Italian,37.78,123,0,495.0,45218.55
51,53.71,2211.37,American,41.78,93,0,44.0,10911.15
108,9.3,2624.37,Indian,38.25,77,0,179.0,19215.97
98,38.47,2705.08,Japanese,29.32,127,0,106.0,10943.48
77,19.75,175.96,American,38.29,74,1,187.0,18176.1
30,58.17,2399.74,Japanese,20.4,188,1,397.0,4458.85
94,43.22,2748.28,Mexican,19.64,78,0,350.0,13996.91
147,26.51,1575.2,Italian,17.18,93,0,372.0,20890.54
254,16.46,738.82,American,42.93,112,1,33.0,57635.69
69,57.3,2152.04,Japanese,8.93,120,0,179.0,7937.3
49,32.81,1085.48,American,8.13,94,1,262.0,5353.25
28,56.75,2753.37,Italian,57.56,50,0,295.0,9709.1
274,9.65,1895.17,Japanese,48.83,156,0,402.0,68448.18
132,45.06,673.07,Indian,31.02,169,1,,15963.7
269,40.22,2671.99,Japanese,18.39,60,0,222.0,28909.69
107,35.64,1420.04,Indian,44.08,89,1,145.0,21892.89
275,31.46,1655.8,Mexican,46.56,94,1,10.0,68641.87
82,58.94,1709.01,Mexican,21.03,120,1,162.0,11592.99
243,54.6,270.18,Italian,52.63,76,0,428.0,66948.01
250,18.25,,Mexican,19.45,99,0,410.0,34147.01
69,42.49,813.59,Italian,21.18,132,1,276.0,11161.18
81,56.91,2174.93,American,18.82,39,1,37.0,14917.5
132,28.39,2974.75,American,59.72,66,0,212.0,35636.34
217,34.75,381.09,Italian,16.18,100,0,350.0,18902.72
100,37.69,1002.96,American,33.92,91,1,96.0,14507.87
183,55.67,1229.26,Japanese,19.46,124,1,409.0,32312.63
46,20.96,1711.87,Indian,55.11,160,1,190.0,8297.45
293,45.64,2336.68,American,58.74,140,0,346.0,83279.24
105,24.08,2777.2,Indian,53.85,137,1,399.0,39670.26
216,35.29,503.87,Mexican,31.59,199,0,58.0,37535.38
230,43.08,1533.21,Indian,9.12,29,1,376.0,18794.68
245,28.97,2724.84,Indian,36.46,54,0,410.0,44121.7
23,17.84,128.0,Japanese,58.77,49,0,478.0,2148.14
211,20.89,1398.28,Indian,35.41,106,1,158.0,40601.52
279,42.79,441.12,American,28.68,190,0,425.0,49221.62
69,11.86,1988.49,Mexican,49.71,176,1,66.0,13079.92
154,14.49,1013.42,Italian,46.53,73,1,491.0,33978.71
106,17.92,522.58,American,29.37,26,0,166.0,22714.52
219,44.6,392.72,Japanese,41.87,101,0,58.0,46302.37
97,41.75,2593.5,Japanese,15.54,152,0,261.0,14218.08
122,49.88,1715.0,American,47.32,24,0,126.0,40378.58
216,57.11,1323.47,Japanese,55.63,38,1,483.0,63125.69
77,40.1,1023.97,Mexican,14.67,89,0,448.0,7871.67
228,49.47,1871.03,Japanese,26.66,122,1,432.0,34471.9
56,50.93,2725.29,Mexican,40.84,138,1,343.0,3719.01
95,37.41,2651.42,American,54.34,67,1,143.0,33217.51
231,28.16,720.36,Italian,22.83,135,0,85.0,31191.59
220,50.4,1778.76,American,17.46,102,1,9.0,25713.01
124,26.05,730.37,American,54.18,112,1,488.0,36605.08
151,40.41,794.8,Indian,15.7,194,1,443.0,14213.71
173,30.42,2752.88,Italian,53.23,102,1,499.0,41706.0
150,14.28,292.46,American,14.79,99,0,329.0,8915.17
181,13.22,1640.34,Indian,17.32,81,0,498.0,13090.75
125,13.46,2155.92,Indian,54.38,195,1,118.0,29081.5
127,20.23,2071.77,Indian,16.46,186,1,47.0,17142.39
242,11.65,552.9,American,18.58,135,0,228.0,18164.7
45,44.98,557.31,American,31.49,135,0,320.0,3293.9
264,23.38,1492.24,Mexican,32.28,97,0,398.0,43239.27
255,43.47,2436.48,Indian,33.38,62,1,40.0,51044.17
44,44.85,93.08,Japanese,38.63,47,1,498.0,18120.16
243,43.6,2737.97,Japanese,20.5,116,0,209.0,32154.85
81,48.16,1104.55,American,44.97,180,0,201.0,12991.74
94,34.9,905.34,Japanese,37.14,38,0,493.0,14828.36
78,44.5,2240.84,American,25.21,169,1,408.0,16930.66
259,53.64,1277.64,Italian,59.33,74,1,373.0,80420.43
51,13.65,619.92,American,25.17,24,1,396.0,9259.98
173,22.42,2204.04,Japanese,32.99,134,0,,37342.86
106,39.08,855.14,American,58.32,52,0,297.0,23749.66
115,56.53,2075.31,American,32.04,162,0,30.0,14492.75
114,15.6,2386.53,Mexican,36.98,98,0,94.0,19122.75
203,27.98,,Italian,35.21,91,1,371.0,38600.4
176,11.6,1909.13,Mexican,49.1,33,1,272.0,46451.96
56,56.57,2286.67,Japanese,20.93,31,1,495.0,1998.89
291,24.09,1224.66,Japanese,22.26,163,0,6.0,36850.76
228,36.9,242.34,Mexican,31.32,36,1,411.0,39466.21
193,12.88,400.6,Japanese,18.26,24,1,1.0,11245.85
41,49.64,1900.42,Japanese,25.26,22,1,26.0,6028.72
278,10.65,2804.74,Italian,13.41,196,0,452.0,21667.45
169,19.3,387.3,Mexican,25.76,96,1,15.0,31186.42
49,9.74,888.7,Mexican,35.2,42,0,344.0,5607.46
24,13.37,2268.83,Italian,43.11,22,0,1.0,8416.8
169,42.92,2386.87,American,8.47,165,0,259.0,6454.16
69,22.33,1514.11,American,47.65,90,1,249.0,21797.11
296,33.51,304.79,Japanese,51.27,118,1,102.0,79503.52
232,40.87,1899.73,Mexican,23.41,174,1,160.0,40488.48
67,33.13,1059.87,Italian,16.67,30,1,269.0,1602.34
28,26.51,494.44,Mexican,10.85,118,1,458.0,500.0
91,57.71,313.64,Indian,12.63,168,0,328.0,2103.2
42,49.79,986.49,American,41.6,86,1,394.0,18468.52
186,17.93,2350.86,American,31.98,52,0,432.0,26861.48
289,48.82,1260.77,Indian,18.46,128,1,35.0,28206.24
289,28.06,1465.32,Italian,25.99,154,1,260.0,38741.07
290,10.74,1734.5,Japanese,28.97,128,0,160.0,43310.82
100,28.06,1167.03,Japanese,10.27,36,0,395.0,10678.67
26,16.69,666.62,Mexican,50.24,162,0,284.0,8502.07
176,46.05,1274.65,Mexican,50.13,140,0,315.0,39019.7
58,29.27,1773.47,Italian,46.38,186,1,486.0,14099.17
82,49.47,437.26,Japanese,35.75,53,1,23.0,8397.04
152,58.15,349.21,Mexican,45.85,76,0,150.0,30521.38
123,32.09,383.38,Japanese,52.12,117,1,7.0,36192.08
76,22.64,2934.33,Indian,10.75,66,1,311.0,10079.97
62,39.45,1181.21,American,16.89,45,1,397.0,6348.19
215,35.22,584.68,Italian,39.77,47,0,268.0,35196.21
231,36.46,2430.34,American,20.73,117,1,352.0,25198.34
114,30.09,1423.99,Italian,47.54,80,1,335.0,26987.65
211,28.73,612.44,Mexican,34.8,171,1,62.0,46507.4
292,24.08,1894.62,Indian,52.62,95,0,6.0,69164.73
94,55.51,252.43,Japanese,20.98,126,0,469.0,7034.3
284,38.74,879.34,Mexican,24.17,55,1,98.0,35604.54
188,48.97,507.98,Mexican,51.26,126,0,475.0,45609.66
150,30.62,1053.7,Italian,59.09,43,1,32.0,42775.17
191,27.49,843.45,Italian,36.83,21,0,254.0,33949.55
51,15.71,2697.58,Mexican,54.9,68,0,85.0,22256.58
89,33.34,1215.93,American,28.4,68,0,467.0,11212.13
90,35.89,504.75,American,18.21,150,1,426.0,925.24
92,19.58,387.52,American,57.19,114,0,209.0,29015.56
187,20.6,795.46,Japanese,19.85,111,1,441.0,17836.45
167,27.99,1586.33,Italian,41.81,30,1,319.0,33443.5
251,52.29,176.02,American,28.98,188,0,210.0,39380.91
191,49.84,498.34,Mexican,14.44,30,1,227.0,22295.06
249,48.63,1689.56,Indian,53.98,58,0,263.0,68762.79
105,35.55,1660.8,Mexican,56.27,98,1,316.0,33198.77
196,54.02,2159.86,Mexican,8.37,163,1,266.0,15134.42
72,10.32,1597.17,Mexican,23.6,173,0,224.0,8689.53
181,16.71,1353.64,Italian,41.56,124,1,359.0,33177.97
241,31.76,2291.32,Mexican,34.62,78,1,71.0,40343.11
158,48.35,2453.16,Italian,36.35,153,0,359.0,28870.68
268,32.47,523.14,Italian,47.9,132,0,29.0,60409.13
167,59.73,467.09,Mexican,47.73,27,1,58.0,37333.28
109,57.59,2919.55,Italian,49.8,186,0,479.0,23813.46
169,54.9,716.26,Japanese,15.23,32,0,34.0,24716.91
232,50.59,1267.18,American,43.42,105,1,262.0,61894.76
258,22.66,196.4,Italian,57.36,44,0,126.0,76170.36
43,42.02,1237.74,Mexican,16.48,39,1,154.0,10417.05
23,10.61,1408.61,Italian,22.52,40,0,133.0,7037.18
125,50.6,1054.43,Indian,27.88,155,0,415.0,28790.06
298,24.82,2714.25,American,54.72,92,0,473.0,79722.57
113,18.17,2150.3,Japanese,22.57,63,1,,13127.32
46,36.54,2972.8,Japanese,43.53,90,1,312.0,10352.37
105,39.74,2244.13,Indian,38.81,99,0,0.0,22759.13
107,29.25,832.48,Mexican,26.27,176,1,464.0,18285.51
82,37.9,1122.75,Japanese,20.75,50,0,166.0,9926.08
294,51.46,1346.25,Italian,35.51,33,0,78.0,55946.06
244,24.23,2282.04,Japanese,50.01,124,0,80.0,57763.14
99,36.77,445.34,American,14.58,166,0,463.0,6040.75
126,36.87,2208.48,American,8.36,180,0,352.0,19184.7
291,24.26,500.65,Mexican,43.32,169,0,482.0,63024.99
221,33.42,2953.47,American,13.83,168,1,46.0,11185.96
55,22.25,1920.47,American,18.08,89,1,241.0,10113.39
164,29.42,2830.87,Japanese,54.83,88,1,85.0,42668.03
180,22.67,2391.87,Japanese,9.27,26,1,201.0,10950.43
160,24.19,1086.09,Japanese,41.81,101,1,271.0,35180.58
31,47.71,2522.44,Japanese,31.0,26,0,76.0,10268.39
211,59.29,1237.5,Mexican,59.05,62,1,149.0,68195.89
177,51.29,1730.29,Japanese,20.57,160,0,488.0,25532.14
183,49.31,960.69,Italian,50.97,126,1,166.0,50589.02
36,35.68,2161.63,Mexican,57.01,96,0,463.0,21521.35
169,47.98,671.6,Japanese,13.69,26,0,143.0,17053.52
182,59.74,1798.48,Indian,25.03,80,0,73.0,24747.34
72,22.56,2942.77,Italian,21.7,33,0,353.0,3013.41
222,53.02,1604.02,Italian,43.82,114,0,275.0,52158.34
111,19.36,2616.16,Japanese,15.92,118,1,75.0,8722.57
141,23.68,2963.13,Japanese,51.75,189,0,388.0,36140.41
201,36.61,,Indian,45.16,155,0,221.0,47713.18
293,29.07,2961.0,Indian,16.05,26,1,393.0,24329.32
42,37.08,2219.73,American,31.56,196,0,87.0,7639.5
111,59.75,2780.61,Japanese,46.95,132,0,26.0,25194.28
23,32.13,618.56,Italian,52.63,148,0,384.0,3471.91
225,32.18,2659.83,Mexican,15.31,93,1,352.0,18266.55
93,55.25,153.98,Mexican,12.62,142,0,281.0,8605.69
34,40.22,1305.71,Mexican,17.49,20,1,487.0,1498.29
97,25.59,2134.14,Japanese,31.89,113,0,301.0,13163.51
178,51.33,1148.14,Italian,32.78,72,0,122.0,31388.77
123,49.66,1262.26,American,49.07,105,1,368.0,27554.4
296,46.91,593.18,American,27.58,186,1,199.0,55481.54
252,23.02,2344.0,American,29.88,66,1,124.0,42937.15
244,17.11,406.47,American,15.05,183,0,138.0,17655.88
215,36.63,1433.73,Italian,39.42,160,0,237.0,44914.16
153,10.9,128.62,Mexican,51.6,174,1,228.0,34152.3
203,41.43,2351.91,American,33.03,131,1,132.0,38745.43
245,30.69,273.69,Italian,53.92,160,0,164.0,56367.3
156,44.94,2634.63,Japanese,52.94,99,0,464.0,42146.97
241,43.26,356.11,American,12.29,150,1,445.0,23266.43
289,23.8,2072.94,Mexican,20.57,156,0,12.0,29764.83
259,14.29,2670.43,Italian,38.01,149,1,58.0,52683.48
59,58.48,419.15,American,25.17,63,0,457.0,6065.12
255,8.77,993.31,Japanese,46.27,97,0,146.0,53936.28
122,28.24,125.4,American,48.48,81,0,364.0,31234.29
49,35.62,1472.69,American,41.04,140,0,396.0,13130.23
245,33.29,104.26,American,16.11,127,0,120.0,23576.08
32,47.7,2381.76,Italian,14.62,134,1,376.0,12038.22
77,56.47,455.61,Mexican,58.0,48,1,136.0,28272.66
188,49.1,1896.6,Japanese,20.7,54,0,153.0,28024.35
140,48.38,643.86,Italian,22.86,63,0,318.0,16658.97
85,27.8,2937.45,Mexican,54.52,107,0,310.0,22968.75
105,52.85,2246.03,Japanese,53.78,91,1,488.0,29520.57
239,46.47,268.33,Mexican,20.47,86,0,457.0,40120.51
61,24.55,1861.78,Italian,23.68,77,1,275.0,10486.36
240,12.58,2712.6,Italian,31.54,155,0,4.0,32042.31
117,27.89,424.97,Italian,54.24,111,0,179.0,34471.79
288,39.49,960.93,Italian,41.59,54,0,203.0,66382.15
154,17.15,1821.17,American,37.09,102,0,277.0,24586.19
143,48.61,1551.51,Italian,44.99,66,0,498.0,35126.51
74,47.59,1053.13,Italian,49.87,128,1,129.0,32064.22
257,40.53,2817.68,Japanese,25.69,90,1,73.0,40054.49
173,54.12,792.26,American,26.84,113,0,26.0,29266.93
234,19.06,1377.18,Mexican,30.99,51,1,271.0,52307.13
